uid,R,F,M,R_value,F_value,M_value,uid_value
a813e24dc5698dd0,10,1,179,1,1,1,一般挽留用户
ae6c568b07a2fc47,3,17,2329,4,5,3,重要价值用户
83f95bf2daec49cda950ed18a6e88977f92e8628,10,1,32.9,1,1,1,一般挽留用户
338af9330f9a96e4b65576913e5380208216013f,4,1,268,3,1,1,一般发展用户
13052c4e2da82cde,1,1,1999,5,1,3,重要发展用户
51728bc3e425fbacb9a0b79a20b55c90cff6f5ad,2,1,100,4,1,1,一般发展用户
864286042894295-3412f9c63bc4,3,1,425,4,1,1,一般发展用户
4a66d567732ab2820589837789ea2d542d33915b,4,48,254652,3,5,5,重要价值用户
860079048303559-1c427dc3d36d,5,1,78.41,3,1,1,一般发展用户
15573db1a0e82fbd,2,1,1099,4,1,3,重要发展用户
867546047351832-808a8bda6ea1,5,1,388.5,3,1,1,一般发展用户
0000000000000000,0,81,408798,1,5,5,重要保持用户
43ae9d3aa50e0faa,8,1,1699,2,1,3,重要挽留用户
865744048703455-10e953bd898b,4,1,12.9,3,1,1,一般发展用户
869780046327604-24da3307f675,2,1,99,4,1,1,一般发展用户
868608036340132-74d21dacd6db,6,1,114.9,2,1,1,一般挽留用户
c7101cd3c8ddf9e0,8,4,333.52,2,3,1,一般保持用户
862856046130177-a89ced988da4,3,1,8799,4,1,4,重要发展用户
7c9b5ac8801b41b8,10,1,56,1,1,1,一般挽留用户
5f7338e0f235354c,11,1,200,1,1,1,一般挽留用户
11137963f718978d,5,1,5299,3,1,4,重要发展用户
85edcbc78b8035ac,3,1,3900,4,1,3,重要发展用户
6bade64f09475d03bd0fce90426de0b6837822f7,5,1,5799,3,1,4,重要发展用户
2189edade86723fa,4,1,8220,3,1,4,重要发展用户
937861def8c215ff59cd73bbbb75cd007c9fff92,6,1,220,2,1,1,一般挽留用户
3551ee895bfc17d2306173ab39b5d2de6ec4b88e,4,1,79,3,1,1,一般发展用户
d7945059c7ce8082,0,1,228,1,1,1,一般挽留用户
2464389762b24990,0,1,99,1,1,1,一般挽留用户
a6af35c01a372032,2,1,59,4,1,1,一般发展用户
1cf846fae122a0589cbeb1277aab9d69de21f985,10,1,49,1,1,1,一般挽留用户
0e1e748fd889ae99,0,1,48,1,1,1,一般挽留用户
3365a5bebb65d794,5,2,252.12,3,2,1,一般价值用户
982a59303b2c3832,4,1,42.9,3,1,1,一般发展用户
6884ea2140f0cb1,4,6,6,3,4,1,一般价值用户
6c950f1afd9223ac,4,1,21.8,3,1,1,一般发展用户
ed10696dfca1951d609abe9e2f30b5e9dc9ae977,1,1,34.9,5,1,1,一般发展用户
c2339b7fb95434157776a5d46847aebd79f7686e,4,1,5999,3,1,4,重要发展用户
d9f750aedce94db5,11,1,399,1,1,1,一般挽留用户
2c6d668dd7829169e4f333b024eece8df44d5317,2,1,1799,4,1,3,重要发展用户
7c8620aae4fe9777,8,1,23,2,1,1,一般挽留用户
7fdafac9f04103835a86e66f8ed87796aa0b2412,5,1,298,3,1,1,一般发展用户
e296eefb4aea42d6,4,1,1499,3,1,3,重要发展用户
7eb3ba0478a1bbf6fbe77535caa7d19406376a3f,4,1,429,3,1,1,一般发展用户
bd799b3c3c3f1e86,9,1,199,1,1,1,一般挽留用户
5c509e18a6613699,0,1,80.78,1,1,1,一般挽留用户
071af20dda6f2600,5,1,2799,3,1,3,重要发展用户
9c3045484b851884,0,1,15.9,1,1,1,一般挽留用户
2e6f1d9b5330d5bc,2,1,196,4,1,1,一般发展用户
a44dced404fe9c53,4,3,43001,3,3,5,重要价值用户
217f1ce9750c8277161eb256ced676f3bae2e185,2,1,39.8,4,1,1,一般发展用户
3130b602bfc7f1bf,11,1,79,1,1,1,一般挽留用户
f7f537ffe5f42dc6fba7c1231032fd624ee57030,4,1,39,3,1,1,一般发展用户
b806a73030275653,2,1,46,4,1,1,一般发展用户
a36be1c5ce238a8c,11,1,349,1,1,1,一般挽留用户
55893a2c0d577166,8,1,54,2,1,1,一般挽留用户
4d5ddfd3181e8030,7,1,59.9,2,1,1,一般挽留用户
3a64547424279f0c,8,1,25,2,1,1,一般挽留用户
0fa7b7439c33607640cd35e3b7445bcc1125559d,4,1,2999,3,1,3,重要发展用户
c435547e76ead3993e79ba178593ef2e027aa220,7,1,5.3,2,1,1,一般挽留用户
9f6c4b093de97ecd4bdd146b2376a54d8e7db4b2,1,1,17,5,1,1,一般发展用户
6e253612ca92ae06d48b7420943b44fe4de7bf2f,2,1,76.9,4,1,1,一般发展用户
7330431433185437,1,1,1699,5,1,3,重要发展用户
304cc5537822a0f2,11,1,79,1,1,1,一般挽留用户
8c3b8124b9fa8013,2,1,112,4,1,1,一般发展用户
4a32bc38c5e0418060dc91a446313a26d5838302,3,1,84,4,1,1,一般发展用户
dd88ad726e3abe7dc537753f2f76ba68b5bc3056,2,1,14.19,4,1,1,一般发展用户
6be31a9932100ac4,5,1,3199,3,1,3,重要发展用户
5fabf70cc26762c4,6,1,39.9,2,1,1,一般挽留用户
b5d186b4e85f20755a253e352eb5ecc2b7784856,5,1,8598,3,1,4,重要发展用户
12beb535569203db,2,1,42,4,1,1,一般发展用户
fdb12916dcbac00cae2000c744b396de1bf01d72,2,1,3998,4,1,3,重要发展用户
546c950c33f83b61,4,1,6799,3,1,4,重要发展用户
d1a728c397d44355,5,1,299,3,1,1,一般发展用户
d4e1280a343612b0e4dd37e9a7a0fd5d2fde8d54,8,1,600,2,1,2,重要挽留用户
a3f3307fac92313a,2,1,215,4,1,1,一般发展用户
860843047408614-1cb79683fca9,11,1,5.9,1,1,1,一般挽留用户
5d7546feb7bae160e9aeaed5580f1be456c00de4,6,1,75,2,1,1,一般挽留用户
cc7da7601803bebf,5,1,149,3,1,1,一般发展用户
78732d3dbd0166cb,7,1,149,2,1,1,一般挽留用户
d7263e67d02f3eb6,2,1,458,4,1,1,一般发展用户
1ab112890f6b11e2,11,1,1390,1,1,3,重要挽留用户
d52598e596eb76ca,7,1,36,2,1,1,一般挽留用户
cba56efbc1e618a2,11,1,14,1,1,1,一般挽留用户
45d640cca2a5fbca,6,1,2049,2,1,3,重要挽留用户
1e2d4cb8374489ecb62f2025bc03b460e75e5b69,2,1,598,4,1,2,重要发展用户
A00000A115E0D3-846fce3e95f7,6,1,49.9,2,1,1,一般挽留用户
866002042170158-08318b4190db,7,1,49.9,2,1,1,一般挽留用户
d22be2a770912fd9,4,1,169,3,1,1,一般发展用户
f78f4e2b8b069daa,11,1,59,1,1,1,一般挽留用户
c82d416601ece527,6,1,35,2,1,1,一般挽留用户
ae3e299fa53887f54e86e13b41ac7dc0a04a66fe,4,1,86,3,1,1,一般发展用户
47b2463810c757f0,3,1,8.5,4,1,1,一般发展用户
e32d2c3be66944072052322fac0a8a6935d9b65c,10,1,38.12,1,1,1,一般挽留用户
a1c8abb388a147994237f2df7be8beceee9e3352,4,1,39,3,1,1,一般发展用户
20e9c2af4843446c,6,1,27.9,2,1,1,一般挽留用户
d3a338dcc5a7140ed27040b2565f077be1b472c2,4,9,215.10000000000002,3,5,1,一般价值用户
a974dda6dd55104a0bc97ab38849014bad6fe66f,3,1,509,4,1,2,重要发展用户
eb29865953e563cc35060749c6cef612fcc7d70b,3,1,125.9,4,1,1,一般发展用户
860530048507532-ace34221212c,10,1,14.8,1,1,1,一般挽留用户
868794032164955-38378b71da7f,7,1,6799,2,1,4,重要挽留用户
